ASN,Name
14987,"RETHEMHOSTING - Rethem Hosting LLC"
14992,"CRYSTALTECH - Newtek Technology Solutions, Inc"
15003,"NOBIS-TECH - Nobis Technology Group, LLC"
15083,"INFOLINK-MIA-US - Infolink Global Corporation"
15085,"IMMEDION - Immedion, LLC"
15144,"XYMMETRIX-XYMMETRIX-LLC - Xymmetrix, LLC"
15149,"EZZI-101-BGP - Access Integrated Technologies, Inc."
15169,"GOOGLE - Google LLC"
15189,"VIMRO-AS15189 - VIMRO, LLC"
15216,"HOSTWAY - Hostway Corporation"
15244,"ADDD2NET-INC - ADD2NET, Inc."
15317,"SERVEREL-AS - Serverel Inc."
15395,"RACKSPACE-LON - Rackspace Ltd."
15418,"FASTHOSTS-INTERNET - Fasthosts Internet Limited"
15456,"INTERNETX-AS - InterNetX GmbH"
15497,"COLOCALL - &quot;7HEAVEN&quot; LLC"
15510,"CWCS-PS - Compuweb Communications Services Limited"
15533,"SASEUROPE - SunGard Availability Services (UK) Ltd"
15541,"CETI-AS - CETI s.c."
15544,"DATAWAYS - Dataways S.A."
15598,"QSC-AG-IPX - QSC AG"
15626,"ITLAS - ITL LLC"
15657,"SPEEDBONE-AS - Speedbone Internet &amp; Connectivity GmbH"
15685,"CASABLANCA-AS - Casablanca INT"
15694,"ATMAN-ISP-AS - ATM S.A."
15699,"AS_ADAM - OGIC Informatica S.L."
15703,"TRUESERVER-AS - True B.V."
15734,"IDH - EQUINIX (SPAIN) ENTERPRISES SLU"
15817,"MITTWALD-AS - Robert Meyer trading as &quot;Mittwald CM Service GmbH &amp; Co. KG&quot;"
15826,"NFRANCE - NFrance Conseil"
15830,"EQUINIX-CONNECT-EMEA - TELECITYGROUP INTERNATIONAL LIMITED"
15891,"NETDEPOT - Host Europe GmbH"
15919,"INTERHOST - Servicios de Hosting en Internet S.A."
15922,"QWEB-AS - Qweb Internet Services B.V."
15954,"TECNOCRATICA - Tecnocratica Centro de Datos, S.L."
15967,"NAZWAPL - Nazwa.pl Sp.z.o.o."
16125,"CHERRYSERVERS1-AS - UAB Cherry Servers"
16262,"DATACHEAP-LLC-AS - Datacheap Ltd."
16265,"LEASEWEB-NETWORK - LeaseWeb Network B.V."
16273,"F-SECURE-AS - F-Secure Oyj"
16276,"OVH - OVH SAS"
16284,"GST-N Autonomous System"
16347,"RMI-FITECH - ADISTA SAS"
16371,"ACENS_AS - acens Technologies, S.L."
16397,"EQUINIX BRASIL"
16406,"AS-INTERMEDIA - Intermedia.net, Inc."
16410,"DKM3-ARIN - The Reynolds and Reynolds Company"
16482,"PEAK10-LOU - Flexential Corp."
16509,"AMAZON-02 - Amazon.com, Inc."
16535,"ECHOS-3 - Echostar Purchasing Corporation"
16552,"TIGGEE - Tiggee LLC"
16556,"TOTALCHOICE - TotalChoice Hosting, LLC"
16557,"COLOSOLUTIONS - Colo Solutions Group, LLC"
16578,"DATANOC - Lanset America Corporation"
16584,"IONSWITCH - IonSwitch, LLC"
16625,"AKAMAI-AS - Akamai Technologies, Inc."
16626,"GNAXNET-AS - zColo"
16628,"DEDICATED-FIBER-COMMUNICATIONS - DedFiberCo"
16645,"EPIQSYSTEMS - EPIQ Systems, Inc"
16858,"AS-TIERP-16858 - TierPoint, LLC"
16862,"-Reserved AS-, ZZ"
16912,"4-LESS-NETWORK - 4 Less Communications, Inc."
16973,"T-Four Services S.A"
17019,"UNREAL-SERVERS - JCHost Internet Services, LLC"
17048,"AWKNET-LLC - Awknet Communications, LLC"
17090,"DATABASEBYDESIGNLLC - Database by Design, LLC"
17113,"AS-TIERP-17113 - TierPoint, LLC"
17139,"NETRANGE - Corporate Colocation Inc."
17156,"ZIXI - Zix Corporation"
17195,"JAMES-TOWER - James Tower Media Design"
17216,"DC74-AS - DC74 LLC"
17223,"LATISYS-CHICAGO - Latisys-Chicago, LLC"
17378,"AS17378 - TierPoint, LLC"
17439,"NETMAGIC-AP - Netmagic Datacenter Mumbai"
17447,"NET4-IN - Net4India Ltd"
17514,"AICS - Otsuka Corp."
17589,"GABIA-AS-KR - GABIA Inc."
17669,"AC3-AS-AP - ac3, Australian Centre for Advanced Computing and Communications"
17694,"JPN-DBJP - Deutsche Bank Group, Japan BGP connection"
17732,"AC3-AS-AP - ac3, Australian Centre for Advanced Computing and Communications"
17819,"ASN-EQUINIX-AP - Equinix Asia Pacific"
17833,"NCOM-AS-KR - NCOM ltd."
17881,"INETHOSTING-AS-KR - Inet Hosting, Inc."
17918,"AC3-AS-AP - ac3, Australian Centre for Advanced Computing and Communications"
17920,"LSHIY-BACKBONE - LSHIY Backbone"
17934,"JGNV6 - National Institute of Information and Communications Technology"
17941,"BIT-ISLE - Equinix Jpapan Enterprise K.K."
17950,"SAINET-AS - SaiNet"
17971,"TMVADS-AP - TM-VADS DC Hosting"
17988,"CSC-HK-AS-AP - China Satellite Communications (HongKong) Corporation Limited"
18013,"ASLINE-AS-AP - ASLINE LIMITED"
18059,"DTPNET-AS-AP - DTPNET NAP"
18120,"GEMINI-AS-IN - Gemini Software Solutions (P) Ltd. Hosting Services, India"
18206,"VPIS-AP - VADS Managed Business Internet Service Provider"
18229,"CTRLS-AS-IN - CtrlS Datacenters Ltd."
18254,"KLAY-AS-AP - KLAYER LLC"
18281,"TAC-NET - Tokoname New-TV Corporation"
18289,"AGNS-JP-IBM - AT&amp;T JAPAN KK"
18362,"NETWAY-AS-AP - Netway Communication Co.,Ltd."
18368,"APNIC-SERVICES - APNIC DNS Anycast"
18405,"SNOWREGAL-AS-AP - Snowregal Holdings TA Digital Data Solutions Perth Peering AS"
18434,"FNIS - Fidelity National Information Services, Inc."
18450,"WEBNX - WebNX, Inc."
18501,"CODERO-DFW - Codero"
18530,"ISOMEDIA-1 - Isomedia, Inc."
18570,"ECHOSTAR-BROADCASTING-CORPORATION - EchoStar Broadcasting Corperation"
18586,"DIVINEHOST - Divine Hosting Services"
18590,"CHINETWORKS - Chi Networks"
18635,"SECUREHOST - Secure Hosting Ltd."
18650,"KORAX - Korax Inc."
18672,"EVOCATIVE1 - Evocative, Inc."
18717,"AKAMAI-AS - Akamai Technologies, Inc."
18779,"EGIHOSTING - EGIHosting"
18978,"ENZUINC-US - Enzu Inc"
19024,"INTERNAP-BLK5 - Internap Corporation"
19084,"COLOUP - ColoUp"
19133,"BIRD-HOSTING - Bird Hosting Inc."
19148,"LEASEWEB-USA-PHX-11 - Leaseweb USA, Inc."
19151,"WVFIBER-1 - WV FIBER"
19186,"GMCHOSTING-01 - GMCHOSTING LLC"
19194,"JOVITA - Sentris Network LLC"
19222,"LIGHTCREST - Lightcrest LLC"
19234,"CANADAWEBHOSTING-AS - Canada Web Hosting"
19237,"OMNIS - Omnis Network, LLC"
19246,"ACT2000 - Antigua Computer Technology Co. Ltd."
19257,"SUBRIGO - SUBRIGO CORPORATION"
19281,"QUAD9-AS-1 - Quad9"
19318,"IS-AS-1 - Interserver, Inc"
19324,"DOSARREST - Dosarrest Internet Security LTD"
19373,"Triara.com, S.A. de C.V."
19383,"WEBEL-1 - Web Elite LLC"
19385,"CBP - CONTINENTAL BROADBAND PENNSYLVANIA, INC."
19437,"SS-ASH - SECURED SERVERS LLC"
19528,"MPDCOL - Meridian Parkway Data Center Owner, LLC"
19531,"NODESDIRECT - Nodes Direct"
19538,"ADVANTAGECOM - Advantagecom Networks, Inc."
19551,"INCAPSULA - Incapsula Inc"
19620,"KUAIYI-NETWORKS-LLC - KuaiYi Networks LLC"
19624,"SERVERROOM - Data Room, Inc"
19691,"888-US - 888 US Inc."
19693,"CENTRILOGIC-ASN - Centrilogic, Inc."
19832,FTB
19842,"COLOSSEUM-ONL - Colosseum Online, Inc."
19844,"GORACK - GoRack LLC"
19871,"NETWORK-SOLUTIONS-HOSTING - Network Solutions, LLC"
19874,"CASTLE-ACCESS-AZ - Castle Access Inc"
19905,"NEUSTAR-AS6 - NeuStar, Inc."
19969,"JOESDATACENTER - Joe's Datacenter, LLC"
19994,"RACKSPACE - Rackspace Hosting"
19996,"ANY2-RS-WEST - CoreSite"
20021,"LNH-INC - HostMySite"
20068,"HAWKHOST - Hawk Host Inc."
20093,"ZEROLAG - Total Server Solutions L.L.C."
20150,"ANYNODE - anyNode"
20189,"AKAMAI-AS - Akamai Technologies, Inc."
20248,"TAKE2 - Take 2 Hosting, Inc."
20264,"WEBAIR-INTERNET-2 - Webair Internet Development Company Inc."
20278,"NEXEON - Nexeon Technologies, Inc."
20284,"INETUASN1 - Flexential iNETu Corp."
20360,"OPPOBOX - Micfo, LLC."
20401,"HOSTWAY-1 - Hostway Corporation"
20448,"VPNTRANET-LLC - VPNtranet, LLC."
20450,"THL16-ASN - Trojan Hosting, LLC."
20454,"SSASN2 - SECURED SERVERS LLC"
20460,"MYTHOSTECH - TFB NET"
20473,"AS-CHOOPA - Choopa, LLC"
20546,"SOPRADO-ANY - SOPRADO GmbH"
20559,"FUNDAMENTS-AS - Fundaments B.V."
20562,"OPEN-PEERING-AS - Broadband Hosting B.V"
20598,CYBERSPACE-AS
20616,"GAZDUIRE-AS - Gazduire Web SRL"
20647,"IPB - IPB Internet Provider in Berlin GmbH"
20648,"RAN-NETWORKS - RAN Networks S.L."
20649,"ASFIBERSUNUCU - FS Veri Merkezi Internet Teknolojileri Limited Sirketi"
20692,"NETGATE-AS - Matthias Rojahn"
20694,"NMMN-AS - NMMN New Media Markets &amp; Networks IT-Services GmbH"
20738,"GD-EMEA-DC-LD5 - Host Europe GmbH"
20773,"GODADDY - Host Europe GmbH"
20803,"RISS-AS - Alexander Valerevich Mokhonko"
20824,"FR-CORNUT - ADISTA SAS"
20836,"CDLAN-AS - CDLAN s.r.l."
20847,"PREVIDER-AS - Previder B.V."
20857,"TRANSIP-AS - Transip B.V."
20860,"IOMART-AS - IOMART CLOUD SERVICES LIMITED"
20916,"ADMINEXPERT-AS - IE Arzanov Vladimir Aleksandrovich"
20926,"PULSATION-AS - Oceanet Technology SAS"
20940,"AKAMAI-ASN1 - Akamai International B.V."
21051,"NIVAL-AS - Mail.Ru LLC"
21069,"ASN-METANET - METANET AG"
21100,"ITLDC-NL - ITL LLC"
21155,"ASN-PROSERVE - Signet B.V."
21159,"NOVOSERVE-GMBH-AS - NovoServe B.V."
21174,RWANDATEL-AS
21217,"SAFEHOSTNET - Safe Host SA"
21260,"POSITIVE-INTERNET-UK-AS - The Positive Internet Company Ltd"
21288,"SPRINTNET - &quot;SPRINT&quot; S.A."
21321,"ARETI-AS - Areti Internet Ltd."
21342,"AKAMAI-ASN2 - Akamai International B.V."
21350,"INTERSPACE-AS - Interspace Ltd."
21396,"NETCONNEX - NetConnex Broadband Ltd."
21409,"IKOULA - Ikoula Net SAS"
21472,"SERVERHOUSE - ServerHouse Ltd"
21499,"GODADDY-SXB - Host Europe GmbH"
21501,"GODADDY-AMS - Host Europe GmbH"
21503,"ARETE-AS - Availo Networks AB"
